town,age,job,married,education,arrears,housing,target
Brighton,41,technician,married,tertiary,no,yes,yes
Stevenage,32,technician,single,tertiary,no,yes,yes
Leicester,36,unemployed,single,tertiary,no,no,no
Worcester,32,technician,married,secondary,no,no,yes
Birmingham,34,blue-collar,married,unknown,no,yes,no
Glasgow,49,management,married,tertiary,no,no,yes
Glasgow,65,retired,married,primary,no,no,yes
Manchester,38,entrepreneur,married,primary,no,yes,no
Huddersfield,55,technician,married,secondary,no,yes,no
Bristol,53,entrepreneur,married,primary,no,yes,yes
York,57,management,divorced,tertiary,no,no,no
London,57,unemployed,married,primary,no,no,no
Sunderland,38,technician,divorced,tertiary,no,no,yes
Newcastle upon Tyne,50,entrepreneur,married,primary,no,yes,no
Oxford,35,management,single,tertiary,no,yes,no
Bournemouth,30,management,single,secondary,no,no,no
Preston,29,technician,single,secondary,no,no,yes
Gloucester,35,self-employed,married,secondary,no,yes,no
Huddersfield,48,management,divorced,tertiary,no,no,no
London,69,retired,married,primary,no,no,no
Manchester,50,housemaid,married,secondary,no,no,no
Sheffield,45,unemployed,married,secondary,no,yes,yes
Southend-on-Sea,76,self-employed,married,unknown,no,no,yes
Glasgow,60,unemployed,married,primary,no,no,yes
Raleigh,22,student,single,tertiary,no,no,yes
Swansea,37,unemployed,single,tertiary,no,no,no
Poole,30,management,married,tertiary,no,yes,no
London,37,services,married,secondary,no,yes,no
Hartlepool,39,blue-collar,married,primary,no,no,yes
Basingstoke,29,services,single,secondary,no,no,no
Peterborough,39,blue-collar,single,secondary,no,no,yes
Aberdeen,34,entrepreneur,divorced,tertiary,no,no,no
Bath,60,technician,married,secondary,no,no,yes
Watford,36,management,single,tertiary,no,yes,yes
Gillingham,35,management,married,tertiary,no,yes,no
Sheffield,38,entrepreneur,married,secondary,no,yes,no
Worthing,36,blue-collar,single,primary,no,no,no
Birmingham,35,management,married,secondary,no,yes,yes
St Albans,36,admin.,married,tertiary,no,no,yes
Southampton,42,entrepreneur,married,unknown,no,yes,yes
Newport,51,management,married,unknown,no,no,no
Warrington,31,technician,divorced,secondary,no,no,no
Maidstone,40,blue-collar,married,primary,no,yes,no
Bristol,45,services,married,unknown,no,no,no
Darlington,35,blue-collar,married,primary,no,yes,no
London,43,management,single,tertiary,no,no,yes
Dundee,30,blue-collar,married,secondary,no,yes,no
Preston,46,management,married,unknown,no,no,yes
Sunderland,31,admin.,single,secondary,no,no,yes
St Helens,27,admin.,single,secondary,no,yes,no
Belfast,33,management,married,tertiary,no,yes,yes
Cambridge,32,management,divorced,tertiary,no,no,yes
County Down,32,blue-collar,married,secondary,no,yes,no
Bournemouth,40,blue-collar,single,secondary,no,yes,no
Gillingham,57,management,married,tertiary,no,yes,no
Glasgow,41,technician,single,secondary,no,no,no
Darlington,33,management,single,tertiary,no,no,yes
Newport,47,management,divorced,tertiary,no,yes,yes
Peterborough,36,admin.,married,secondary,no,yes,no
London,43,management,married,tertiary,no,yes,yes
Poole,28,admin.,single,secondary,no,no,yes
Coventry,44,blue-collar,married,unknown,no,yes,yes
Manchester,51,admin.,single,secondary,no,yes,yes
Woking,28,technician,single,tertiary,no,no,yes
Southampton,49,management,married,tertiary,no,yes,yes
Milton Keynes,37,management,married,tertiary,no,yes,no
Bristol,60,services,divorced,secondary,no,no,no
Edinburgh,43,admin.,married,secondary,no,yes,no
Sheffield,32,student,single,tertiary,no,no,no
High Wycombe,38,management,married,tertiary,no,no,yes
Chesterfield,42,management,married,unknown,no,yes,yes
Blackpool,35,admin.,single,secondary,no,no,yes
Chelmsford,47,blue-collar,married,primary,no,yes,no
Slough,33,management,single,secondary,no,no,no
Reading,33,management,single,tertiary,no,yes,yes
Grimsby,40,services,married,secondary,no,yes,no
Solihull,36,management,single,tertiary,no,no,yes
Warrington,30,admin.,married,secondary,no,yes,yes
London,32,blue-collar,single,secondary,no,yes,no
Woking,29,blue-collar,married,secondary,no,no,no
Ipswich,34,management,single,tertiary,no,no,no
London,37,technician,married,unknown,no,no,yes
Stoke-on-Trent,37,blue-collar,married,primary,no,yes,no
Portsmouth,38,management,divorced,tertiary,no,yes,no
County Down,31,blue-collar,single,secondary,no,yes,no
London,38,services,married,primary,no,no,no
Leicester,60,technician,married,primary,no,yes,yes
Poole,35,blue-collar,married,secondary,no,no,no
Birmingham,36,blue-collar,married,primary,no,yes,no
Southampton,37,management,single,unknown,no,yes,no
High Wycombe,48,blue-collar,married,primary,no,yes,no
London,41,self-employed,married,secondary,no,yes,no
Southend-on-Sea,28,student,single,secondary,no,no,no
Basildon,49,management,married,tertiary,no,yes,no
Maidstone,51,management,married,tertiary,no,no,yes
Derby,45,management,married,secondary,no,no,yes
Brighton,47,technician,divorced,secondary,no,no,no
High Wycombe,47,services,married,unknown,no,yes,no
Gloucester,53,housemaid,married,unknown,no,no,no
Hastings,30,technician,single,primary,no,yes,no
London,38,management,single,tertiary,no,no,yes
Hemel Hempstead,33,technician,married,tertiary,no,yes,no
Darlington,34,management,married,tertiary,no,no,yes
Chelmsford,47,admin.,married,secondary,no,yes,no
Kingston upon Hull,49,blue-collar,married,primary,no,no,no
Birmingham,57,management,married,tertiary,no,no,yes
London,26,blue-collar,single,secondary,no,yes,yes
Manchester,60,retired,married,secondary,no,no,no
Crawley,34,admin.,divorced,secondary,no,yes,yes
Edinburgh,59,retired,divorced,unknown,no,yes,no
Bournemouth,55,admin.,married,secondary,no,no,yes
Liverpool,52,management,married,primary,no,no,no
Manchester,38,admin.,single,secondary,no,yes,yes
Poole,31,management,single,tertiary,no,no,no
Sheffield,38,technician,married,unknown,no,yes,no
Coventry,29,admin.,single,secondary,no,yes,no
Southport,40,services,married,secondary,no,yes,yes
Bournemouth,40,management,married,secondary,no,yes,yes
Chelmsford,40,technician,married,secondary,no,no,yes
Maidstone,33,unemployed,married,secondary,no,no,yes
Birmingham,33,management,married,tertiary,no,yes,yes
Lincoln,45,unemployed,divorced,secondary,no,yes,no
Sunderland,35,management,single,tertiary,no,yes,yes
Worthing,40,management,married,tertiary,no,no,no
Leicester,62,housemaid,married,unknown,no,no,yes
Stoke-on-Trent,53,blue-collar,married,secondary,no,yes,no
Liverpool,30,management,single,tertiary,no,yes,no
Woking,53,admin.,married,secondary,no,no,yes
Bradford,36,entrepreneur,married,secondary,no,no,no
Colchester,31,technician,single,tertiary,no,yes,no
Barnsley,39,services,married,secondary,no,yes,no
Bristol,34,services,married,secondary,no,yes,no
Birmingham,72,retired,divorced,tertiary,no,no,yes
Blackpool,41,management,married,tertiary,no,yes,no
Gillingham,56,admin.,single,secondary,no,no,no
Salford,32,blue-collar,married,primary,no,yes,no
Oldham,34,admin.,married,secondary,no,no,yes
Eastbourne,61,retired,divorced,secondary,no,no,yes
Wakefield,59,retired,married,secondary,no,no,no
London,25,admin.,single,secondary,no,no,yes
Kingston upon Hull,63,retired,married,secondary,no,no,yes
Rotherham,47,blue-collar,married,secondary,no,yes,yes
Peterborough,42,admin.,single,secondary,no,yes,no
Birmingham,35,management,married,tertiary,no,yes,no
Luton,31,management,married,tertiary,no,no,no
Gillingham,35,blue-collar,single,secondary,no,yes,no
Newport,40,admin.,married,primary,no,yes,yes
Cambridge,29,blue-collar,married,secondary,no,yes,no
Hemel Hempstead,39,technician,married,secondary,no,no,yes
Glasgow,42,management,married,tertiary,no,no,no
Grimsby,43,technician,married,secondary,no,yes,no
Stoke-on-Trent,59,housemaid,married,primary,no,yes,no
Bedford,47,technician,divorced,secondary,no,yes,no
Basingstoke,63,entrepreneur,married,tertiary,no,no,no
Chelmsford,47,technician,married,secondary,no,yes,no
Bristol,33,self-employed,married,secondary,no,yes,no
Manchester,58,admin.,married,secondary,no,no,yes
Dundee,32,admin.,married,secondary,no,no,no
Wigan,32,technician,single,tertiary,no,yes,yes
London,49,management,married,tertiary,no,no,no
Northampton,23,student,single,secondary,no,no,yes
Cheltenham,49,technician,divorced,tertiary,no,yes,yes
Huddersfield,46,services,married,secondary,no,no,yes
York,29,admin.,single,secondary,no,yes,no
Sutton Coldfield,46,management,divorced,tertiary,no,no,yes
Solihull,58,entrepreneur,married,secondary,no,no,no
Gateshead,29,management,married,tertiary,no,yes,yes
Barnsley,36,services,married,secondary,no,yes,yes
Doncaster,33,student,single,unknown,no,no,no
London,26,services,married,secondary,no,yes,no
London,60,entrepreneur,married,primary,no,yes,no
Oxford,42,management,single,tertiary,no,no,yes
Milton Keynes,23,unemployed,single,primary,no,no,yes
Eastbourne,49,blue-collar,married,primary,no,no,no
Bolton,33,technician,married,tertiary,no,yes,no
Glasgow,29,blue-collar,single,secondary,no,yes,no
Colchester,28,student,married,tertiary,no,yes,no
Southend-on-Sea,32,technician,single,secondary,no,yes,no
Bradford,52,management,married,tertiary,no,no,no
Basildon,43,management,married,tertiary,no,no,yes
Grimsby,50,blue-collar,married,primary,no,yes,no
Bradford,70,retired,married,primary,no,no,no
Oxford,54,management,divorced,tertiary,no,yes,yes
Eastbourne,44,self-employed,single,tertiary,no,yes,no
Doncaster,68,retired,married,secondary,no,yes,no
Manchester,31,management,single,tertiary,no,yes,no
Grimsby,57,technician,married,secondary,no,no,no
Manchester,49,blue-collar,married,tertiary,no,no,no
Watford,56,management,married,tertiary,no,no,no
Exeter,41,technician,single,tertiary,no,no,no
Preston,44,unemployed,single,primary,yes,no,yes
Preston,37,management,married,secondary,no,no,yes
Cheltenham,20,blue-collar,single,secondary,no,yes,yes
Oldham,54,admin.,married,tertiary,no,yes,no
Barnsley,51,blue-collar,married,primary,no,yes,no
Bolton,52,blue-collar,married,secondary,no,yes,no
Bristol,33,blue-collar,married,primary,no,yes,no
Liverpool,33,blue-collar,single,secondary,no,no,no
London,30,admin.,married,secondary,no,no,no
Middlesbrough,31,blue-collar,married,secondary,no,yes,no
London,59,retired,married,primary,no,yes,no
Nottingham,41,services,single,secondary,no,yes,yes
Telford,30,unemployed,single,tertiary,no,no,no
Huddersfield,36,technician,single,secondary,no,yes,yes
Bradford,30,technician,single,secondary,no,no,yes
Maidstone,36,management,married,tertiary,no,no,yes
Bradford,39,blue-collar,married,secondary,no,no,yes
Rochdale,28,blue-collar,married,secondary,no,yes,no
Bradford,56,blue-collar,married,primary,no,no,no
Lincoln,35,management,single,secondary,no,yes,no
Liverpool,35,technician,single,secondary,no,yes,yes
Sheffield,42,technician,married,tertiary,no,no,no
Chesterfield,45,management,single,tertiary,no,no,yes
Poole,34,blue-collar,married,secondary,no,no,no
Southport,26,services,single,secondary,no,no,yes
Cambridge,63,retired,single,tertiary,no,no,yes
Crawley,30,blue-collar,married,secondary,no,no,yes
Northampton,34,services,single,secondary,no,yes,no
St Albans,57,retired,married,secondary,no,no,yes
Northampton,24,blue-collar,married,secondary,no,no,yes
Sale,35,management,married,tertiary,no,no,yes
High Wycombe,50,admin.,married,secondary,no,no,no
Sheffield,46,blue-collar,married,primary,no,yes,no
Preston,47,housemaid,divorced,primary,no,no,no
Bournemouth,48,management,married,tertiary,no,yes,yes
Southend-on-Sea,32,services,divorced,secondary,no,yes,no
Slough,43,management,divorced,tertiary,no,no,no
Bedford,46,management,married,tertiary,no,no,yes
High Wycombe,34,blue-collar,married,secondary,no,yes,yes
County Down,31,management,single,tertiary,no,yes,yes
Swindon,47,services,married,secondary,no,no,yes
Gillingham,35,management,single,tertiary,no,yes,yes
St Albans,43,management,married,tertiary,no,no,yes
Cardiff,35,admin.,divorced,secondary,no,no,yes
St Helens,33,technician,single,secondary,no,yes,yes
Southampton,38,blue-collar,married,secondary,no,no,yes
Kingston upon Hull,31,unemployed,married,secondary,no,no,yes
Stockport,31,technician,single,secondary,no,no,no
Manchester,35,blue-collar,married,secondary,no,yes,yes
Cardiff,34,admin.,single,secondary,no,yes,no
Milton Keynes,28,technician,single,tertiary,no,no,yes
Aberdeen,41,technician,single,tertiary,no,yes,yes
Hartlepool,38,services,married,tertiary,no,no,no
Birmingham,55,unemployed,married,primary,no,no,no
Sunderland,38,services,married,secondary,no,yes,no
Worthing,39,services,married,secondary,no,no,yes
Telford,27,admin.,single,secondary,no,yes,no
Birmingham,43,services,married,primary,no,yes,no
Leeds,29,technician,divorced,secondary,no,yes,no
Raleigh,26,self-employed,single,secondary,no,no,yes
Manchester,29,blue-collar,divorced,secondary,no,yes,yes
Birmingham,51,management,married,tertiary,no,yes,no
Basildon,67,retired,married,unknown,no,no,yes
York,33,self-employed,single,tertiary,no,yes,yes
Watford,33,blue-collar,single,secondary,no,no,yes
Basingstoke,36,unemployed,married,secondary,no,no,no
Grimsby,36,housemaid,married,primary,no,yes,yes
Rotherham,31,blue-collar,single,secondary,no,no,no
Sheffield,47,services,married,secondary,no,no,no
Oldham,35,admin.,divorced,secondary,no,no,no
Plymouth,59,retired,divorced,primary,no,yes,no
Cheltenham,30,blue-collar,single,secondary,no,yes,no
Eastbourne,50,management,single,tertiary,no,yes,no
Swansea,29,unemployed,single,secondary,no,no,no
Dundee,31,admin.,single,secondary,no,yes,yes
Bedford,48,management,married,primary,no,no,no
Liverpool,30,blue-collar,single,secondary,no,yes,yes
Birmingham,29,technician,single,secondary,no,no,yes
St Albans,31,technician,single,tertiary,no,no,yes
Birmingham,27,student,single,tertiary,no,no,yes
Grimsby,35,unemployed,single,tertiary,no,no,yes
Gateshead,70,retired,married,secondary,no,no,no
Basingstoke,56,entrepreneur,divorced,secondary,no,no,no
Birmingham,45,self-employed,single,primary,no,no,no
Liverpool,33,technician,married,secondary,no,yes,no
Nottingham,27,technician,single,tertiary,no,yes,yes
Leicester,25,blue-collar,single,secondary,no,no,yes
Watford,38,management,married,tertiary,no,yes,no
Poole,31,management,married,tertiary,no,no,no
Wakefield,44,blue-collar,single,secondary,no,yes,yes
Bolton,44,management,married,tertiary,no,no,no
Luton,30,technician,married,secondary,no,no,no
Telford,45,blue-collar,divorced,secondary,no,yes,no
High Wycombe,39,technician,married,secondary,no,yes,yes
Stoke-on-Trent,59,management,married,tertiary,no,yes,yes
Bedford,71,retired,divorced,primary,no,no,yes
Basingstoke,31,unemployed,single,tertiary,no,yes,no
Bedford,41,technician,married,secondary,no,no,no
Bristol,33,self-employed,divorced,secondary,no,yes,yes
Southampton,45,services,married,secondary,no,no,no
Slough,33,technician,single,tertiary,no,no,no
Cambridge,37,technician,married,tertiary,no,no,yes
Bedford,36,blue-collar,married,secondary,no,yes,no
Cardiff,40,technician,married,secondary,no,yes,no
Bath,40,management,single,unknown,no,yes,no
Stockport,32,management,married,tertiary,no,no,no
Salford,54,retired,divorced,tertiary,no,no,yes
Gloucester,31,technician,married,secondary,no,no,no
Birkenhead,56,retired,married,secondary,no,no,no
Southampton,35,admin.,married,secondary,no,yes,no
Swansea,34,student,single,unknown,no,no,yes
Exeter,37,admin.,single,secondary,no,no,yes
Hastings,53,blue-collar,married,secondary,yes,no,no
Bristol,36,management,married,tertiary,no,no,no
London,33,management,single,tertiary,no,no,no
Wolverhampton,32,blue-collar,married,secondary,no,yes,no
Eastbourne,30,technician,single,tertiary,no,yes,no
Gateshead,46,technician,married,secondary,no,yes,no
Blackburn,42,admin.,divorced,secondary,no,no,yes
Glasgow,30,admin.,single,secondary,no,yes,yes
Liverpool,54,technician,married,secondary,no,no,yes
Cambridge,39,blue-collar,married,secondary,no,yes,no
Liverpool,30,technician,single,tertiary,no,yes,yes
Slough,52,admin.,married,secondary,no,no,no
Liverpool,46,admin.,married,secondary,no,yes,yes
Glasgow,48,technician,married,primary,no,no,yes
Grimsby,30,management,single,tertiary,no,no,yes
Ipswich,36,admin.,married,secondary,no,no,yes
Northampton,40,technician,single,tertiary,no,yes,yes
Chester,38,management,divorced,secondary,no,yes,yes
Huddersfield,30,unemployed,married,tertiary,no,no,yes
York,32,services,single,tertiary,no,no,no
Preston,58,admin.,married,secondary,no,yes,yes
Cheltenham,34,management,married,tertiary,no,no,yes
Glasgow,30,unemployed,single,secondary,no,yes,no
Southend-on-Sea,32,unemployed,married,secondary,no,yes,no
Wigan,25,blue-collar,single,secondary,no,no,yes
St Albans,39,blue-collar,married,primary,no,yes,no
High Wycombe,45,admin.,married,secondary,no,no,no
St Helens,38,technician,single,secondary,no,no,no
Chester,32,services,single,secondary,no,no,yes
Birmingham,28,services,single,secondary,no,yes,no
Manchester,55,admin.,married,secondary,no,no,yes
Liverpool,27,admin.,single,secondary,no,no,no
Liverpool,39,student,single,tertiary,no,no,yes
Sheffield,39,services,married,secondary,no,yes,yes
Stockport,38,technician,divorced,secondary,no,yes,no
Bournemouth,30,blue-collar,married,secondary,no,yes,yes
Birmingham,41,blue-collar,married,primary,no,yes,no
Bradford,33,management,single,tertiary,no,yes,yes
Edinburgh,42,management,married,tertiary,no,yes,yes
Newport,28,self-employed,married,tertiary,no,yes,yes
Raleigh,40,blue-collar,single,primary,no,yes,no
Northampton,36,management,single,tertiary,no,no,no
Bolton,50,blue-collar,married,unknown,no,no,no
Bristol,44,management,divorced,tertiary,no,no,yes
Reading,52,technician,married,tertiary,no,no,yes
Liverpool,38,blue-collar,married,secondary,no,no,no
Southend-on-Sea,23,student,single,secondary,no,no,yes
Halifax,32,services,married,secondary,no,yes,no
Cambridge,44,management,married,unknown,no,no,no
Oxford,50,technician,married,secondary,no,yes,no
Gateshead,42,unknown,single,unknown,no,no,yes
Chelmsford,30,management,single,tertiary,no,no,no
Bristol,49,self-employed,married,tertiary,no,no,no
Sutton Coldfield,67,retired,married,primary,no,no,yes
Birkenhead,59,management,married,tertiary,no,no,no
Southport,24,admin.,married,secondary,no,yes,no
Cambridge,42,technician,married,secondary,no,no,no
Bath,30,blue-collar,single,secondary,no,no,no
Birmingham,26,technician,single,tertiary,no,no,no
Maidstone,28,blue-collar,single,secondary,no,yes,no
Sunderland,24,student,single,secondary,no,no,yes
Aberdeen,59,management,married,tertiary,no,no,yes
Glasgow,38,management,married,tertiary,no,no,yes
Belfast,36,unemployed,divorced,secondary,no,no,no
Manchester,42,blue-collar,married,primary,no,yes,yes
Woking,45,admin.,single,secondary,no,yes,no
Bristol,33,management,married,secondary,no,no,no
Southampton,32,student,single,tertiary,no,no,yes
Huddersfield,30,management,married,tertiary,no,no,no
Birmingham,34,admin.,single,secondary,no,yes,no
Lincoln,31,technician,married,tertiary,no,yes,yes
Lincoln,28,technician,single,tertiary,no,yes,yes
Warrington,42,blue-collar,married,unknown,no,no,no
Cardiff,56,management,married,secondary,no,yes,no
Oldham,76,retired,married,primary,no,no,yes
Bolton,38,admin.,married,secondary,no,no,no
Exeter,31,services,single,secondary,no,no,yes
London,56,management,divorced,tertiary,no,no,yes
Gateshead,36,entrepreneur,married,tertiary,no,no,no
Southport,43,blue-collar,married,primary,no,yes,no
Manchester,33,blue-collar,married,secondary,no,yes,yes
Birkenhead,38,management,married,tertiary,no,no,no
Bristol,27,technician,single,tertiary,no,no,yes
Doncaster,28,student,single,secondary,no,no,yes
Stevenage,38,technician,married,tertiary,no,no,yes
Swindon,58,management,married,tertiary,no,no,no
Birkenhead,44,management,married,tertiary,no,no,yes
York,30,management,single,tertiary,no,yes,no
Plymouth,30,technician,single,secondary,no,yes,yes
London,33,services,single,secondary,no,no,yes
Birmingham,33,technician,single,secondary,no,no,yes
Wakefield,68,retired,married,secondary,no,no,yes
Cambridge,25,blue-collar,single,secondary,no,yes,yes
Bristol,31,admin.,single,secondary,no,yes,no
Birmingham,32,blue-collar,married,secondary,no,yes,no
York,83,retired,married,primary,no,no,yes
Belfast,58,blue-collar,married,primary,no,no,no
London,50,services,married,secondary,no,no,yes
London,48,blue-collar,married,primary,no,no,no
London,43,management,divorced,tertiary,no,no,yes
Huddersfield,38,management,married,tertiary,no,no,yes
Bournemouth,55,management,divorced,tertiary,no,no,yes
Leeds,35,management,married,tertiary,no,yes,no
Dundee,48,unemployed,married,secondary,no,no,yes
Grimsby,28,admin.,single,secondary,no,yes,no
Liverpool,51,management,married,tertiary,no,no,yes
Liverpool,40,services,married,secondary,no,no,no
Woking,32,services,married,secondary,no,no,no
Basildon,41,technician,married,tertiary,no,no,yes
Colchester,34,services,married,secondary,no,yes,no
Sutton Coldfield,39,housemaid,divorced,secondary,no,no,no
Swansea,58,housemaid,married,primary,no,yes,no
Kingston upon Hull,55,housemaid,divorced,primary,no,no,yes
St Albans,38,technician,married,secondary,no,no,yes
Rochdale,49,retired,married,primary,no,no,no
Glasgow,54,technician,married,tertiary,no,no,yes
Slough,35,services,single,primary,no,no,yes
Bristol,28,management,single,tertiary,no,yes,yes
Plymouth,39,blue-collar,married,primary,no,yes,no
Southampton,34,admin.,married,secondary,no,yes,yes
Plymouth,33,technician,married,secondary,no,yes,yes
Bristol,37,blue-collar,married,primary,no,yes,yes
Huddersfield,60,management,married,tertiary,no,no,yes
Salford,57,retired,married,secondary,no,no,yes
Wolverhampton,46,blue-collar,married,secondary,no,yes,yes
Doncaster,30,unknown,single,unknown,no,no,no
Swindon,49,unemployed,married,primary,yes,yes,no
Stockport,26,blue-collar,single,secondary,no,yes,yes
Telford,34,technician,single,tertiary,no,yes,no
Chelmsford,48,entrepreneur,divorced,tertiary,no,yes,no
London,51,blue-collar,married,secondary,no,yes,no
Manchester,39,management,married,secondary,no,yes,no
Reading,53,blue-collar,married,primary,no,no,no
Coventry,44,services,married,secondary,no,yes,no
Bradford,32,admin.,married,secondary,no,yes,yes
London,42,housemaid,married,primary,yes,no,no
Leicester,36,self-employed,single,tertiary,no,no,no
Northampton,44,blue-collar,married,secondary,no,yes,no
Maidstone,37,admin.,married,secondary,no,yes,no
Barnsley,39,unemployed,married,tertiary,no,no,yes
Wigan,33,technician,single,tertiary,no,no,no
St Helens,56,retired,married,secondary,no,yes,no
Dundee,36,management,divorced,tertiary,no,no,no
London,30,entrepreneur,single,secondary,no,yes,no
Birmingham,55,services,married,secondary,no,yes,no
Newcastle upon Tyne,28,self-employed,single,tertiary,no,no,yes
Newcastle upon Tyne,60,blue-collar,married,secondary,no,no,no
Glasgow,49,technician,divorced,secondary,no,no,yes
Manchester,25,student,single,tertiary,no,no,yes
Colchester,42,services,divorced,secondary,no,no,no
Bath,44,self-employed,divorced,secondary,no,no,yes
Oxford,44,technician,single,tertiary,no,no,no
Brighton,33,management,single,tertiary,no,yes,no
Southport,35,technician,married,tertiary,no,no,no
Hartlepool,36,management,married,tertiary,no,yes,yes
Eastbourne,34,technician,single,tertiary,no,no,no
Exeter,52,technician,married,secondary,no,no,yes
